,equivalence_class,Occurrence,Word count,tf,Document,IDF,tf-idf
92,amount,3,1,0.0410958904109589,Sauteing ,1.2321436812926323,0.05063604169695749
93,amount,1,1,0.011904761904761904,Stewing ,1.2321436812926323,0.014668377158245621
94,appearance,1,1,0.02127659574468085,Baking ,2.4849066497880004,0.052870354250808514
95,appearance,1,1,0.004310344827586207,Smoking ,2.4849066497880004,0.010710804524948277
96,baked-goods,1,1,0.02127659574468085,Baking ,3.1780538303479458,0.06761816660314778
97,baking causes,1,2,0.02127659574468085,Baking ,3.1780538303479458,0.06761816660314778
98,bottom,1,1,0.02127659574468085,Baking ,0.9808292530117262,0.02086870751088779
99,bottom,1,1,0.009259259259259259,Boiling ,0.9808292530117262,0.009081752342701168
100,bottom,2,1,0.03278688524590164,Cockaigne ,0.9808292530117262,0.032158336164318894
101,bottom,2,1,0.037037037037037035,Deglazing ,0.9808292530117262,0.03632700937080467
102,bottom,1,1,0.022222222222222223,Poaching ,0.9808292530117262,0.021796205622482804
103,bottom,1,1,0.0136986301369863,Sauteing ,0.9808292530117262,0.013436017164544194
104,bottom,1,1,0.01639344262295082,Scalding ,0.9808292530117262,0.016079168082159447
105,bottom,3,1,0.01293103448275862,Smoking ,0.9808292530117262,0.012683136892393011
106,bottom,1,1,0.027777777777777776,Steaming ,0.9808292530117262,0.027245257028103504
107,bread,2,1,0.0425531914893617,Baking ,2.0794415416798357,0.08848687411403557
108,bread,1,1,0.01639344262295082,Scalding ,2.0794415416798357,0.034089205601308785
109,bread,1,1,0.027777777777777776,Steaming ,2.0794415416798357,0.0577622650466621
110,broth,1,1,0.02127659574468085,Baking ,2.4849066497880004,0.052870354250808514
111,broth,1,1,0.022222222222222223,Poaching ,2.4849066497880004,0.05522014777306668
112,butter,1,1,0.02127659574468085,Baking ,1.5686159179138452,0.03337480676412437
113,butter,2,1,0.03278688524590164,Cockaigne ,1.5686159179138452,0.051430030095535914
114,butter,2,1,0.037037037037037035,Deglazing ,1.5686159179138452,0.058096885848660934
115,butter,1,1,0.16666666666666666,Shirring ,1.5686159179138452,0.2614359863189742
116,butter,2,1,0.023809523809523808,Stewing ,1.5686159179138452,0.037347998045567744
117,cake,1,1,0.02127659574468085,Baking ,2.0794415416798357,0.04424343705701778
118,cake,1,1,0.0064516129032258064,Grilling ,2.0794415416798357,0.013415751881805393
119,cake,1,1,0.027777777777777776,Steaming ,2.0794415416798357,0.0577622650466621
120,caramelization,1,1,0.02127659574468085,Baking ,2.4849066497880004,0.052870354250808514
121,caramelization,1,1,0.018518518518518517,Deglazing ,2.4849066497880004,0.04601678981088889
122,case,1,1,0.02127659574468085,Baking ,1.5686159179138452,0.03337480676412437
123,case,1,1,0.01639344262295082,Cockaigne ,1.5686159179138452,0.025715015047767957
124,case,5,1,0.016666666666666666,Deep Frying ,1.5686159179138452,0.02614359863189742
125,case,1,1,0.0064516129032258064,Grilling ,1.5686159179138452,0.010120102696218356
126,case,1,1,0.027777777777777776,Steaming ,1.5686159179138452,0.0435726643864957
